date,cloud_cover,sunshine,global_radiation,max_temp,mean_temp,min_temp,precipitation,pressure,snow_depth,rain_tomorrow,sin_doy,cos_doy,sin_woy,cos_woy,precipitation_roll3_mean,precipitation_roll3_std,pressure_roll3_mean,pressure_roll3_std,cloud_cover_roll3_mean,cloud_cover_roll3_std
1984-09-25,5.0,2.3,86.0,17.6,10.9,5.8,0.0,101160.0,0.0,0,-0.99665890175417,-0.08167639533042288,-1.0,-1.8369701987210297e-16,0.7333333333333333,0.8736894948051113,100423.33333333333,740.0225221798286,5.333333333333333,0.5773502691896676
1984-09-26,3.0,9.0,154.0,18.1,12.0,6.4,0.0,101120.0,0.0,0,-0.9979171608653922,-0.06450844944931713,-1.0,-1.8369701987210297e-16,0.5666666666666667,0.9814954576220938,100903.33333333333,410.40630274570384,4.666666666666667,1.527525231651958
1984-09-27,6.0,0.1,45.0,20.5,13.0,8.0,0.0,101270.0,0.0,1,-0.9988797155850336,-0.047321388322432316,-1.0,-1.8369701987210297e-16,0.0,0.0,101183.33333333333,77.67453465197171,4.666666666666667,1.527525231651958
1984-09-28,5.0,4.7,110.0,19.2,16.8,13.2,6.0,100690.0,0.0,1,-0.9995462806873576,-0.03012030484690836,-1.0,-1.8369701987210297e-16,2.0,3.464101615137687,101026.66666666667,301.05370506506256,4.666666666666667,1.5275252316519579
1984-09-29,4.0,7.8,139.0,17.0,16.4,13.5,2.9,100740.0,0.0,0,-0.999916658654738,-0.012910296075008843,-1.0,-1.8369701987210297e-16,2.966666666666667,3.0005555041246788,100900.0,321.4031735998708,5.0,1.0000000000000204
1984-09-30,5.0,5.4,115.0,16.4,14.4,11.8,0.0,100540.0,0.0,0,-0.9999907397361902,0.004303538296243821,-1.0,-1.8369701987210297e-16,2.966666666666667,3.0005555041246788,100656.66666666667,104.08329997363863,4.666666666666667,0.5773502691896549
1984-10-01,5.0,6.9,127.0,15.7,10.6,4.8,0.0,100070.0,0.0,1,-0.999768501979891,0.021516097436222233,-0.9927088740980539,0.12053668025532321,0.9666666666666667,1.6743157806497617,100450.0,343.9476704384974,4.666666666666667,0.5773502691896549
1984-10-02,4.0,3.6,94.0,15.1,11.1,6.5,7.8,99730.0,0.0,1,-0.9992500112396837,0.03872228089217399,-0.9927088740980539,0.12053668025532321,2.6,4.503332099679032,100113.33333333333,406.7349669421123,4.666666666666667,0.5773502691896549
1984-10-03,5.0,3.1,87.0,16.1,11.4,7.6,0.5,99770.0,0.0,1,-0.9984354211555644,0.05591699010060302,-0.9927088740980539,0.12053668025532321,2.766666666666667,4.366157731155952,99856.66666666667,185.83146486373062,4.666666666666667,0.5773502691896549
1984-10-04,6.0,6.6,120.0,13.4,11.4,6.7,2.1,99730.0,0.0,1,-0.9973249731081556,0.07309512989807687,-0.9927088740980539,0.12053668025532321,3.466666666666667,3.8370995990895156,99743.33333333333,23.094010769043013,5.0,1.0000000000000204
1984-10-05,8.0,0.0,36.0,14.5,11.8,10.3,36.0,100070.0,0.0,0,-0.995918996147179,0.09025161003104071,-0.9927088740980539,0.12053668025532321,12.866666666666667,20.05002078136911,99856.66666666667,185.83146486373062,6.333333333333333,1.5275252316519696
1984-10-06,3.0,6.4,115.0,15.0,10.8,7.1,0.0,101790.0,0.0,1,-0.9942179068939518,0.10738134666416219,-0.9927088740980539,0.12053668025532321,12.700000000000001,20.20569226727953,100530.0,1104.3550153823119,5.666666666666667,2.5166114784235947
1984-10-07,6.0,0.5,48.0,19.8,9.9,4.8,0.9,102460.0,0.0,0,-0.9922222094179323,0.12447926388678869,-0.9927088740980539,0.12053668025532321,12.299999999999999,20.529734533110748,101440.0,1232.8422445714887,5.666666666666667,2.5166114784235947
1984-10-08,8.0,0.7,51.0,17.8,14.8,9.7,0.0,102130.0,0.0,1,-0.989932495087353,0.141540295217043,-0.9709418174260523,0.2393156642875574,0.3,0.5196152422701522,102126.66666666667,335.01243758015863,5.666666666666667,2.5166114784235947
1984-10-09,8.0,0.3,43.0,14.9,16.0,14.2,5.9,102310.0,0.0,1,-0.9873494423939863,0.15855938510313475,-0.9709418174260523,0.2393156642875574,2.266666666666667,3.178574103797626,102300.0,165.22711641878007,7.333333333333333,1.1547005383792912
1984-10-10,7.0,0.0,33.0,17.0,13.0,11.2,0.2,102430.0,0.0,0,-0.9844738167520923,0.17553149042142777,-0.9709418174260523,0.2393156642875574,2.0333333333333337,3.3501243758005272,102290.0,150.9966887056306,7.666666666666667,0.5773502691897117
1984-10-11,4.0,6.3,107.0,17.9,11.0,5.1,0.0,102520.0,0.0,0,-0.9813064702716094,0.19245158197082995,-0.9709418174260523,0.2393156642875574,2.0333333333333337,3.3501243758005272,102420.0,105.35653752883637,6.333333333333333,2.08166599946615
1984-10-12,6.0,6.3,106.0,15.4,13.2,8.6,0.0,102640.0,0.0,0,-0.977848341505657,0.20931464596304802,-0.9709418174260523,0.2393156642875574,0.06666666666666667,0.11547005383557231,102530.0,105.35653752883637,5.666666666666667,1.527525231651965
